iter	Passed	Remaining
964	6063	219
965	6069	213
966	6075	207
967	6081	201
968	6087	194
969	6093	188
970	6099	182
971	6105	175
972	6110	169
973	6116	163
974	6122	156
975	6128	150
976	6134	144
977	6139	138
978	6145	131
979	6151	125
980	6156	119
981	6162	112
982	6167	106
983	6173	100
984	6179	94
985	6185	87
986	6192	81
987	6197	75
988	6203	68
989	6209	62
990	6214	56
991	6220	50
992	6226	43
993	6231	37
994	6237	31
995	6243	25
996	6249	18
997	6254	12
998	6260	6
999	6267	0
